형태소,품사,문어_횟수,문어_비율,문어_파일,문어_의미,구어_횟수,구어_의미,구어_파일,구어_의미,전체_횟수,전체_비율,전체_파일,전체_의미
없,VA,"101,131",0.34%,445,1,"4,320",0.27%,195,0,"105,451",0.33%,640,1
같,VA,"51,514",0.17%,444,0,"5,226",0.32%,196,0,"56,740",0.18%,640,0
그렇,VA,"31,843",0.11%,432,0,"4,244",0.26%,194,0,"36,087",0.11%,626,0
많,VA,"24,911",0.08%,444,0,"1,677",0.10%,175,0,"26,588",0.08%,619,0
크,VA,"25,659",0.09%,446,0,758,0.05%,162,0,"26,417",0.08%,608,0
좋,VA,"21,985",0.07%,433,0,"3,268",0.20%,192,0,"25,253",0.08%,625,0
어떻,VA,"14,295",0.05%,431,0,263,0.02%,104,0,"14,558",0.05%,535,0
이렇,VA,"12,894",0.04%,420,0,229,0.01%,97,0,"13,123",0.04%,517,0
있,VA,272,0.00%,109,0,"12,756",0.79%,199,0,"13,028",0.04%,308,0
새롭,VA,"10,646",0.04%,418,0,156,0.01%,56,0,"10,802",0.03%,474,0
다르,VA,"9,202",0.03%,422,0,790,0.05%,140,0,"9,992",0.03%,562,0
어렵,VA,"9,416",0.03%,431,0,401,0.02%,102,0,"9,817",0.03%,533,0
높,VA,"9,256",0.03%,435,0,191,0.01%,72,0,"9,447",0.03%,507,0
쉽,VA,"7,111",0.02%,420,0,355,0.02%,102,0,"7,466",0.02%,522,0
작,VA,"7,087",0.02%,418,2,163,0.01%,74,0,"7,250",0.02%,492,2
길,VA,"5,575",0.02%,403,0,204,0.01%,80,0,"5,779",0.02%,483,0
아름답,VA,"5,113",0.02%,328,0,48,0.00%,21,0,"5,161",0.02%,349,0
깊,VA,"4,762",0.02%,414,0,49,0.00%,28,0,"4,811",0.02%,442,0
어리,VA,"4,260",0.01%,367,4,272,0.02%,81,0,"4,532",0.01%,448,4
힘들,VA,"3,745",0.01%,383,0,527,0.03%,122,0,"4,272",0.01%,505,0
젊,VA,"4,090",0.01%,389,0,80,0.00%,41,0,"4,170",0.01%,430,0
멀,VA,"4,002",0.01%,394,0,88,0.01%,52,0,"4,090",0.01%,446,0
가깝,VA,"3,712",0.01%,403,0,133,0.01%,69,0,"3,845",0.01%,472,0
적,VA,"3,735",0.01%,400,0,85,0.01%,43,0,"3,820",0.01%,443,0
심하,VA,"3,107",0.01%,398,0,186,0.01%,75,0,"3,293",0.01%,473,0
낮,VA,"3,097",0.01%,380,0,102,0.01%,41,0,"3,199",0.01%,421,0
아프,VA,"2,964",0.01%,331,0,224,0.01%,77,0,"3,188",0.01%,408,0
빠르,VA,"2,897",0.01%,393,0,122,0.01%,58,0,"3,019",0.01%,451,0
나쁘,VA,"2,643",0.01%,380,1,276,0.02%,87,0,"2,919",0.01%,467,1
싫,VA,"2,402",0.01%,297,0,509,0.03%,122,0,"2,911",0.01%,419,0
늦,VA,"2,557",0.01%,374,0,194,0.01%,80,0,"2,751",0.01%,454,0
넓,VA,"2,661",0.01%,376,0,68,0.00%,38,0,"2,729",0.01%,414,0
무섭,VA,"2,451",0.01%,314,0,191,0.01%,59,0,"2,642",0.01%,373,0
짧,VA,"2,434",0.01%,374,0,114,0.01%,55,0,"2,548",0.01%,429,0
커다랗,VA,"2,315",0.01%,353,0,35,0.00%,19,0,"2,350",0.01%,372,0
엄청나,VA,"2,235",0.01%,371,0,93,0.01%,46,0,"2,328",0.01%,417,0
지나치,VA,"2,233",0.01%,376,0,21,0.00%,13,0,"2,254",0.01%,389,0
희,VA,"2,136",0.01%,264,0,34,0.00%,14,0,"2,170",0.01%,278,0
이러하,VA,"2,081",0.01%,36,0,0,0.00%,0,0,"2,081",0.01%,36,0
검,VA,"2,030",0.01%,293,1,20,0.00%,10,0,"2,050",0.01%,303,1
어둡,VA,"2,023",0.01%,340,0,21,0.00%,16,0,"2,044",0.01%,356,0
옳,VA,"2,021",0.01%,334,0,23,0.00%,14,0,"2,044",0.01%,348,0
괜찮,VA,"1,529",0.01%,271,0,483,0.03%,118,0,"2,012",0.01%,389,0
똑같,VA,"1,613",0.01%,335,0,393,0.02%,117,0,"2,006",0.01%,452,0
밝,VA,"1,960",0.01%,362,0,21,0.00%,11,0,"1,981",0.01%,373,0
바쁘,VA,"1,836",0.01%,318,0,107,0.01%,49,0,"1,943",0.01%,367,0
가볍,VA,"1,892",0.01%,335,0,33,0.00%,23,0,"1,925",0.01%,358,0
뜨겁,VA,"1,847",0.01%,328,0,39,0.00%,19,0,"1,886",0.01%,347,0
붉,VA,"1,845",0.01%,263,1,11,0.00%,4,0,"1,856",0.01%,267,1
하얗,VA,"1,785",0.01%,247,0,43,0.00%,28,0,"1,828",0.01%,275,0
고맙,VA,"1,700",0.01%,255,1,95,0.01%,54,0,"1,795",0.01%,309,1
예쁘,VA,"1,558",0.01%,232,0,141,0.01%,55,0,"1,699",0.01%,287,0
푸르,VA,"1,661",0.01%,241,0,28,0.00%,7,0,"1,689",0.01%,248,0
무겁,VA,"1,638",0.01%,338,0,45,0.00%,28,0,"1,683",0.01%,366,0
수많,VA,"1,648",0.01%,341,0,13,0.00%,10,0,"1,661",0.01%,351,0
맑,VA,"1,607",0.01%,301,0,16,0.00%,11,0,"1,623",0.01%,312,0
즐겁,VA,"1,556",0.01%,284,0,54,0.00%,31,0,"1,610",0.01%,315,0
좁,VA,"1,538",0.01%,328,0,35,0.00%,24,0,"1,573",0.00%,352,0
부드럽,VA,"1,540",0.01%,262,0,23,0.00%,13,0,"1,563",0.00%,275,0
재미있,VA,"1,466",0.00%,247,0,84,0.01%,31,0,"1,550",0.00%,278,0
약하,VA,"1,447",0.00%,336,0,65,0.00%,40,0,"1,512",0.00%,376,0
낯설,VA,"1,485",0.00%,272,0,13,0.00%,8,0,"1,498",0.00%,280,0
편하,VA,"1,252",0.00%,302,0,176,0.01%,73,0,"1,428",0.00%,375,0
낫,VA,"1,228",0.00%,326,2,199,0.01%,89,0,"1,427",0.00%,415,2
틀림없,VA,"1,325",0.00%,295,0,1,0.00%,1,0,"1,326",0.00%,296,0
비싸,VA,"1,134",0.00%,306,0,187,0.01%,51,0,"1,321",0.00%,357,0
강하,VA,"1,184",0.00%,109,2,102,0.01%,50,0,"1,286",0.00%,159,2
슬프,VA,"1,217",0.00%,233,0,44,0.00%,25,0,"1,261",0.00%,258,0
춥,VA,"1,162",0.00%,237,0,84,0.01%,32,0,"1,246",0.00%,269,0
놀랍,VA,"1,204",0.00%,307,0,16,0.00%,11,0,"1,220",0.00%,318,0
곱,VA,"1,184",0.00%,266,3,14,0.00%,10,0,"1,198",0.00%,276,3
짙,VA,"1,152",0.00%,296,0,14,0.00%,8,0,"1,166",0.00%,304,0
뛰어나,VA,"1,138",0.00%,288,0,25,0.00%,13,0,"1,163",0.00%,301,0
낡,VA,"1,148",0.00%,285,0,4,0.00%,3,0,"1,152",0.00%,288,0
드물,VA,"1,105",0.00%,318,0,20,0.00%,14,0,"1,125",0.00%,332,0
거칠,VA,"1,082",0.00%,265,0,32,0.00%,8,0,"1,114",0.00%,273,0
안타깝,VA,"1,068",0.00%,306,0,30,0.00%,23,0,"1,098",0.00%,329,0
부끄럽,VA,"1,080",0.00%,267,0,6,0.00%,5,0,"1,086",0.00%,272,0
기쁘,VA,"1,044",0.00%,257,0,42,0.00%,21,0,"1,086",0.00%,278,0
바르,VA,992,0.00%,262,2,21,0.00%,14,0,"1,013",0.00%,276,2
두렵,VA,965,0.00%,258,0,39,0.00%,15,0,"1,004",0.00%,273,0
반갑,VA,975,0.00%,245,0,27,0.00%,16,0,"1,002",0.00%,261,0
맛있,VA,778,0.00%,184,0,210,0.01%,48,0,988,0.00%,232,0
흔하,VA,956,0.00%,250,0,21,0.00%,15,0,977,0.00%,265,0
착하,VA,927,0.00%,196,0,39,0.00%,22,0,966,0.00%,218,0
차갑,VA,947,0.00%,209,0,13,0.00%,9,0,960,0.00%,218,0
싸,VA,832,0.00%,249,2,115,0.01%,40,0,947,0.00%,289,2
조그맣,VA,934,0.00%,231,0,7,0.00%,5,0,941,0.00%,236,0
외롭,VA,912,0.00%,233,0,23,0.00%,14,0,935,0.00%,247,0
올바르,VA,902,0.00%,234,0,23,0.00%,13,0,925,0.00%,247,0
빨갛,VA,856,0.00%,213,0,68,0.00%,37,0,924,0.00%,250,0
멋지,VA,836,0.00%,220,0,46,0.00%,21,0,882,0.00%,241,0
날카롭,VA,842,0.00%,248,0,17,0.00%,6,0,859,0.00%,254,0
급하,VA,812,0.00%,267,0,45,0.00%,26,0,857,0.00%,293,0
친하,VA,603,0.00%,195,0,237,0.01%,63,0,840,0.00%,258,0
