형태소,품사,문어_횟수,문어_비율,문어_파일,문어_의미,구어_횟수,구어_의미,구어_파일,구어_의미,전체_횟수,전체_비율,전체_파일,전체_의미
이러,XR,"9,457",0.03%,337,0,159,0.01%,38,0,"9,616",0.03%,375,0
비롯,XR,"4,250",0.01%,384,0,13,0.00%,10,0,"4,263",0.01%,394,0
그러,XR,"3,847",0.01%,296,0,303,0.02%,39,0,"4,150",0.01%,335,0
비슷,XR,"3,040",0.01%,390,0,236,0.01%,89,0,"3,276",0.01%,479,0
불구,XR,"2,967",0.01%,362,0,78,0.00%,42,0,"3,045",0.01%,404,0
심각,XR,"2,703",0.01%,362,0,41,0.00%,23,0,"2,744",0.01%,385,0
가능,XR,"2,094",0.01%,77,0,0,0.00%,0,0,"2,094",0.01%,77,0
중요,XR,"1,974",0.01%,60,0,117,0.01%,34,0,"2,091",0.01%,94,0
당연,XR,"1,953",0.01%,350,0,55,0.00%,38,0,"2,008",0.01%,388,0
확실,XR,"1,931",0.01%,364,0,73,0.00%,44,0,"2,004",0.01%,408,0
복잡,XR,"1,747",0.01%,344,0,97,0.01%,40,0,"1,844",0.01%,384,0
어떠,XR,"1,711",0.01%,286,0,67,0.00%,27,0,"1,778",0.01%,313,0
강력,XR,"1,728",0.01%,310,0,19,0.00%,9,0,"1,747",0.01%,319,0
강,XR,"1,735",0.01%,192,0,0,0.00%,0,0,"1,735",0.01%,192,0
충분,XR,"1,719",0.01%,356,0,11,0.00%,7,0,"1,730",0.01%,363,0
훌륭,XR,"1,686",0.01%,314,0,27,0.00%,14,0,"1,713",0.01%,328,0
바람직,XR,"1,698",0.01%,271,0,12,0.00%,7,0,"1,710",0.01%,278,0
따뜻,XR,"1,622",0.01%,281,0,56,0.00%,24,0,"1,678",0.01%,305,0
적절,XR,"1,542",0.01%,294,0,52,0.00%,21,0,"1,594",0.01%,315,0
간단,XR,"1,425",0.00%,327,0,87,0.01%,46,0,"1,512",0.00%,373,0
깨끗,XR,"1,394",0.00%,313,0,42,0.00%,27,0,"1,436",0.00%,340,0
정당,XR,"1,421",0.00%,267,0,6,0.00%,4,0,"1,427",0.00%,271,0
화려,XR,"1,282",0.00%,281,0,25,0.00%,14,0,"1,307",0.00%,295,0
궁금,XR,"1,182",0.00%,286,0,71,0.00%,42,0,"1,253",0.00%,328,0
진정,XR,"1,186",0.00%,264,0,4,0.00%,3,0,"1,190",0.00%,267,0
진지,XR,"1,148",0.00%,274,0,32,0.00%,18,0,"1,180",0.00%,292,0
뚜렷,XR,"1,133",0.00%,300,0,8,0.00%,5,0,"1,141",0.00%,305,0
대단,XR,"1,063",0.00%,286,0,69,0.00%,36,0,"1,132",0.00%,322,0
익숙,XR,"1,065",0.00%,286,0,44,0.00%,23,0,"1,109",0.00%,309,0
다양,XR,976,0.00%,60,0,122,0.01%,33,0,"1,098",0.00%,93,0
조용,XR,"1,023",0.00%,269,0,41,0.00%,24,0,"1,064",0.00%,293,0
마땅,XR,"1,047",0.00%,293,0,3,0.00%,3,0,"1,050",0.00%,296,0
불가피,XR,"1,032",0.00%,225,0,2,0.00%,2,0,"1,034",0.00%,227,0
시원,XR,992,0.00%,268,0,42,0.00%,23,0,"1,034",0.00%,291,0
위대,XR,"1,015",0.00%,247,0,3,0.00%,3,0,"1,018",0.00%,250,0
답답,XR,931,0.00%,256,0,71,0.00%,26,0,"1,002",0.00%,282,0
소중,XR,975,0.00%,247,0,21,0.00%,10,0,996,0.00%,257,0
활발,XR,984,0.00%,254,0,8,0.00%,7,0,992,0.00%,261,0
엉뚱,XR,932,0.00%,258,0,19,0.00%,14,0,951,0.00%,272,0
평범,XR,946,0.00%,257,0,5,0.00%,4,0,951,0.00%,261,0
풍부,XR,823,0.00%,263,0,6,0.00%,5,0,829,0.00%,268,0
무관,XR,803,0.00%,259,0,4,0.00%,3,0,807,0.00%,262,0
엄격,XR,787,0.00%,256,0,8,0.00%,7,0,795,0.00%,263,0
적당,XR,767,0.00%,247,0,23,0.00%,13,0,790,0.00%,260,0
신기,XR,729,0.00%,226,0,58,0.00%,37,0,787,0.00%,263,0
이룩,XR,751,0.00%,194,0,0,0.00%,0,0,751,0.00%,194,0
타당,XR,730,0.00%,193,0,4,0.00%,3,0,734,0.00%,196,0
솔직,XR,719,0.00%,219,0,13,0.00%,11,0,732,0.00%,230,0
불쌍,XR,679,0.00%,183,0,39,0.00%,21,0,718,0.00%,204,0
어색,XR,637,0.00%,203,0,52,0.00%,25,0,689,0.00%,228,0
억울,XR,666,0.00%,223,0,18,0.00%,9,0,684,0.00%,232,0
절실,XR,674,0.00%,233,0,4,0.00%,4,0,678,0.00%,237,0
쓸쓸,XR,641,0.00%,168,0,2,0.00%,2,0,643,0.00%,170,0
희미,XR,638,0.00%,172,0,4,0.00%,4,0,642,0.00%,176,0
명확,XR,591,0.00%,174,0,15,0.00%,9,0,606,0.00%,183,0
생생,XR,604,0.00%,242,0,1,0.00%,1,0,605,0.00%,243,0
맞이,XR,593,0.00%,207,0,1,0.00%,1,0,594,0.00%,208,0
민감,XR,573,0.00%,225,0,14,0.00%,9,0,587,0.00%,234,0
단순,XR,582,0.00%,65,0,1,0.00%,1,0,583,0.00%,66,0
신선,XR,576,0.00%,208,0,6,0.00%,5,0,582,0.00%,213,0
시급,XR,581,0.00%,190,0,1,0.00%,1,0,582,0.00%,191,0
강렬,XR,559,0.00%,182,0,10,0.00%,5,0,569,0.00%,187,0
만만,XR,535,0.00%,219,0,31,0.00%,21,0,566,0.00%,240,0
죄송,XR,479,0.00%,160,0,65,0.00%,35,0,544,0.00%,195,0
자세,XR,503,0.00%,219,0,36,0.00%,29,0,539,0.00%,248,0
막연,XR,524,0.00%,209,0,14,0.00%,9,0,538,0.00%,218,0
끔찍,XR,515,0.00%,198,0,14,0.00%,9,0,529,0.00%,207,0
지루,XR,512,0.00%,210,0,10,0.00%,9,0,522,0.00%,219,0
막대,XR,511,0.00%,195,1,0,0.00%,0,0,511,0.00%,195,1
명백,XR,504,0.00%,179,0,3,0.00%,2,0,507,0.00%,181,0
소박,XR,499,0.00%,185,0,1,0.00%,1,0,500,0.00%,186,0
이상,XR,487,0.00%,65,0,4,0.00%,3,0,491,0.00%,68,0
단단,XR,486,0.00%,182,0,4,0.00%,2,0,490,0.00%,184,0
주요,XR,486,0.00%,53,0,1,0.00%,1,0,487,0.00%,54,0
분명,XR,472,0.00%,72,0,2,0.00%,2,0,474,0.00%,74,0
격렬,XR,472,0.00%,200,0,0,0.00%,0,0,472,0.00%,200,0
딱딱,XR,446,0.00%,170,0,18,0.00%,13,0,464,0.00%,183,0
넉넉,XR,459,0.00%,190,0,4,0.00%,3,0,463,0.00%,193,0
사소,XR,453,0.00%,183,0,8,0.00%,6,0,461,0.00%,189,0
한심,XR,447,0.00%,187,0,6,0.00%,4,0,453,0.00%,191,0
초라,XR,448,0.00%,169,0,5,0.00%,4,0,453,0.00%,173,0
확고,XR,447,0.00%,200,0,2,0.00%,2,0,449,0.00%,202,0
일정,XR,441,0.00%,57,0,2,0.00%,2,0,443,0.00%,59,0
과감,XR,435,0.00%,181,0,1,0.00%,1,0,436,0.00%,182,0
튼튼,XR,410,0.00%,180,0,17,0.00%,11,0,427,0.00%,191,0
정확,XR,421,0.00%,64,0,5,0.00%,4,0,426,0.00%,68,0
급격,XR,423,0.00%,174,0,2,0.00%,2,0,425,0.00%,176,0
유명,XR,408,0.00%,64,0,17,0.00%,11,0,425,0.00%,75,0
유연,XR,420,0.00%,163,0,5,0.00%,3,0,425,0.00%,166,0
웬만,XR,364,0.00%,177,0,58,0.00%,38,0,422,0.00%,215,0
섬세,XR,409,0.00%,146,0,13,0.00%,5,0,422,0.00%,151,0
똑똑,XR,379,0.00%,159,0,41,0.00%,19,0,420,0.00%,178,0
무수,XR,414,0.00%,146,0,2,0.00%,2,0,416,0.00%,148,0
특별,XR,416,0.00%,68,0,0,0.00%,0,0,416,0.00%,68,0
단호,XR,407,0.00%,172,0,1,0.00%,1,0,408,0.00%,173,0
아득,XR,406,0.00%,141,0,0,0.00%,0,0,406,0.00%,141,0
지독,XR,399,0.00%,152,0,0,0.00%,0,0,399,0.00%,152,0
섭섭,XR,391,0.00%,146,0,5,0.00%,4,0,396,0.00%,150,0
치밀,XR,389,0.00%,180,0,4,0.00%,2,0,393,0.00%,182,0
탁월,XR,377,0.00%,162,0,6,0.00%,6,0,383,0.00%,168,0
불과,XR,377,0.00%,57,0,5,0.00%,4,0,382,0.00%,61,0
차분,XR,370,0.00%,160,0,11,0.00%,7,0,381,0.00%,167,0
모호,XR,369,0.00%,148,0,7,0.00%,4,0,376,0.00%,152,0
간절,XR,373,0.00%,169,0,1,0.00%,1,0,374,0.00%,170,0
한가,XR,370,0.00%,168,0,2,0.00%,1,0,372,0.00%,169,0
순진,XR,363,0.00%,152,0,4,0.00%,3,0,367,0.00%,155,0
미묘,XR,359,0.00%,176,0,7,0.00%,5,0,366,0.00%,181,0
유사,XR,354,0.00%,89,0,7,0.00%,4,0,361,0.00%,93,0
애매,XR,327,0.00%,148,0,32,0.00%,18,0,359,0.00%,166,0
극심,XR,358,0.00%,174,0,0,0.00%,0,0,358,0.00%,174,0
심심,XR,334,0.00%,142,0,24,0.00%,19,0,358,0.00%,161,0
불쾌,XR,355,0.00%,138,0,0,0.00%,0,0,355,0.00%,138,0
절박,XR,338,0.00%,162,0,0,0.00%,0,0,338,0.00%,162,0
은밀,XR,331,0.00%,157,0,1,0.00%,1,0,332,0.00%,158,0
예민,XR,320,0.00%,159,0,9,0.00%,6,0,329,0.00%,165,0
깔끔,XR,294,0.00%,127,0,33,0.00%,22,0,327,0.00%,149,0
싱싱,XR,323,0.00%,127,0,1,0.00%,1,0,324,0.00%,128,0
달콤,XR,319,0.00%,139,0,5,0.00%,3,0,324,0.00%,142,0
다급,XR,320,0.00%,142,0,1,0.00%,1,0,321,0.00%,143,0
긴밀,XR,313,0.00%,132,0,7,0.00%,3,0,320,0.00%,135,0
흐뭇,XR,315,0.00%,135,0,1,0.00%,1,0,316,0.00%,136,0
잔잔,XR,310,0.00%,143,0,2,0.00%,2,0,312,0.00%,145,0
찬란,XR,311,0.00%,132,0,0,0.00%,0,0,311,0.00%,132,0
서운,XR,294,0.00%,123,0,17,0.00%,9,0,311,0.00%,132,0
불길,XR,307,0.00%,119,0,1,0.00%,1,0,308,0.00%,120,0
공허,XR,308,0.00%,144,0,0,0.00%,0,0,308,0.00%,144,0
어리둥절,XR,307,0.00%,154,0,0,0.00%,0,0,307,0.00%,154,0
심상,XR,302,0.00%,146,0,3,0.00%,3,0,305,0.00%,149,0
유쾌,XR,297,0.00%,129,0,4,0.00%,2,0,301,0.00%,131,0
조그마,XR,301,0.00%,133,0,0,0.00%,0,0,301,0.00%,133,0
서늘,XR,300,0.00%,127,0,0,0.00%,0,0,300,0.00%,127,0
따스,XR,298,0.00%,111,0,1,0.00%,1,0,299,0.00%,112,0
싸늘,XR,296,0.00%,124,0,3,0.00%,3,0,299,0.00%,127,0
멀쩡,XR,269,0.00%,133,0,28,0.00%,16,0,297,0.00%,149,0
막막,XR,289,0.00%,136,0,7,0.00%,6,0,296,0.00%,142,0
귀중,XR,294,0.00%,162,0,0,0.00%,0,0,294,0.00%,162,0
기이,XR,290,0.00%,98,0,1,0.00%,1,0,291,0.00%,99,0
집요,XR,291,0.00%,135,0,0,0.00%,0,0,291,0.00%,135,0
성급,XR,285,0.00%,158,0,5,0.00%,3,0,290,0.00%,161,0
여전,XR,286,0.00%,154,0,4,0.00%,3,0,290,0.00%,157,0
무성,XR,285,0.00%,154,0,0,0.00%,0,0,285,0.00%,154,0
획일,XR,281,0.00%,107,0,3,0.00%,2,0,284,0.00%,109,0
엄숙,XR,284,0.00%,139,0,0,0.00%,0,0,284,0.00%,139,0
교묘,XR,281,0.00%,147,0,2,0.00%,2,0,283,0.00%,149,0
황당,XR,223,0.00%,105,0,58,0.00%,25,0,281,0.00%,130,0
정교,XR,275,0.00%,129,0,4,0.00%,2,0,279,0.00%,131,0
본격,XR,277,0.00%,47,0,0,0.00%,0,0,277,0.00%,47,0
동일,XR,262,0.00%,36,0,13,0.00%,4,0,275,0.00%,40,0
막론,XR,274,0.00%,135,0,0,0.00%,0,0,274,0.00%,135,0
온전,XR,266,0.00%,140,0,5,0.00%,3,0,271,0.00%,143,0
풍성,XR,268,0.00%,123,0,2,0.00%,2,0,270,0.00%,125,0
떳떳,XR,261,0.00%,142,0,6,0.00%,4,0,267,0.00%,146,0
유치,XR,241,0.00%,127,0,26,0.00%,13,0,267,0.00%,140,0
방대,XR,259,0.00%,142,0,5,0.00%,4,0,264,0.00%,146,0
면,XR,261,0.00%,117,0,0,0.00%,0,0,261,0.00%,117,0
현저,XR,259,0.00%,109,0,0,0.00%,0,0,259,0.00%,109,0
팽팽,XR,259,0.00%,143,0,0,0.00%,0,0,259,0.00%,143,0
난감,XR,244,0.00%,124,0,14,0.00%,9,0,258,0.00%,133,0
지저분,XR,239,0.00%,121,0,19,0.00%,12,0,258,0.00%,133,0
마다,XR,257,0.00%,154,0,0,0.00%,0,0,257,0.00%,154,0
참신,XR,252,0.00%,109,0,4,0.00%,1,0,256,0.00%,110,0
민망,XR,227,0.00%,121,0,28,0.00%,21,0,255,0.00%,142,0
우아,XR,255,0.00%,104,0,0,0.00%,0,0,255,0.00%,104,0
상이,XR,252,0.00%,70,0,2,0.00%,2,0,254,0.00%,72,0
용이,XR,251,0.00%,123,0,3,0.00%,3,0,254,0.00%,126,0
열악,XR,242,0.00%,123,0,7,0.00%,5,0,249,0.00%,128,0
과격,XR,247,0.00%,123,0,0,0.00%,0,0,247,0.00%,123,0
거룩,XR,246,0.00%,95,0,1,0.00%,1,0,247,0.00%,96,0
위태,XR,246,0.00%,143,0,1,0.00%,1,0,247,0.00%,144,0
거대,XR,247,0.00%,45,0,0,0.00%,0,0,247,0.00%,45,0
거창,XR,240,0.00%,134,0,5,0.00%,4,0,245,0.00%,138,0
단정,XR,244,0.00%,115,1,1,0.00%,1,0,245,0.00%,116,1
떠들썩,XR,244,0.00%,134,0,1,0.00%,1,0,245,0.00%,135,0
느긋,XR,239,0.00%,122,0,2,0.00%,1,0,241,0.00%,123,0
난처,XR,240,0.00%,124,0,1,0.00%,1,0,241,0.00%,125,0
용감,XR,237,0.00%,130,0,1,0.00%,1,0,238,0.00%,131,0
저렴,XR,237,0.00%,87,0,1,0.00%,1,0,238,0.00%,88,0
허전,XR,234,0.00%,115,0,2,0.00%,2,0,236,0.00%,117,0
든든,XR,229,0.00%,124,0,4,0.00%,3,0,233,0.00%,127,0
완강,XR,232,0.00%,117,0,1,0.00%,1,0,233,0.00%,118,0
창백,XR,231,0.00%,91,0,0,0.00%,0,0,231,0.00%,91,0
멍청,XR,213,0.00%,109,0,17,0.00%,12,0,230,0.00%,121,0
독특,XR,205,0.00%,52,0,22,0.00%,9,0,227,0.00%,61,0
빈번,XR,227,0.00%,121,0,0,0.00%,0,0,227,0.00%,121,0
조급,XR,224,0.00%,123,0,2,0.00%,2,0,226,0.00%,125,0
급급,XR,224,0.00%,144,0,1,0.00%,1,0,225,0.00%,145,0
고귀,XR,221,0.00%,96,0,2,0.00%,2,0,223,0.00%,98,0
굉장,XR,210,0.00%,103,0,11,0.00%,9,0,221,0.00%,112,0
생소,XR,212,0.00%,122,0,7,0.00%,7,0,219,0.00%,129,0
희한,XR,203,0.00%,89,0,13,0.00%,11,0,216,0.00%,100,0
친근,XR,211,0.00%,125,0,5,0.00%,5,0,216,0.00%,130,0
어수선,XR,213,0.00%,126,0,0,0.00%,0,0,213,0.00%,126,0
철저,XR,209,0.00%,56,0,3,0.00%,3,0,212,0.00%,59,0
거북,XR,207,0.00%,95,0,3,0.00%,2,0,210,0.00%,97,0
수월,XR,205,0.00%,117,0,4,0.00%,2,0,209,0.00%,119,0
역력,XR,206,0.00%,118,0,1,0.00%,1,0,207,0.00%,119,0
무방,XR,207,0.00%,111,0,0,0.00%,0,0,207,0.00%,111,0
썰렁,XR,188,0.00%,112,0,19,0.00%,7,0,207,0.00%,119,0
미미,XR,204,0.00%,131,0,2,0.00%,1,0,206,0.00%,132,0
담담,XR,203,0.00%,104,0,2,0.00%,1,0,205,0.00%,105,0
세심,XR,203,0.00%,127,0,1,0.00%,1,0,204,0.00%,128,0
자명,XR,203,0.00%,103,0,0,0.00%,0,0,203,0.00%,103,0
경쾌,XR,201,0.00%,104,0,1,0.00%,1,0,202,0.00%,105,0
명료,XR,200,0.00%,107,0,2,0.00%,2,0,202,0.00%,109,0
기묘,XR,202,0.00%,96,0,0,0.00%,0,0,202,0.00%,96,0
허다,XR,200,0.00%,113,0,1,0.00%,1,0,201,0.00%,114,0
허술,XR,201,0.00%,125,0,0,0.00%,0,0,201,0.00%,125,0
씁쓸,XR,196,0.00%,117,0,4,0.00%,2,0,200,0.00%,119,0
한적,XR,199,0.00%,114,0,0,0.00%,0,0,199,0.00%,114,0
축축,XR,193,0.00%,84,0,3,0.00%,1,0,196,0.00%,85,0
간편,XR,194,0.00%,100,0,2,0.00%,2,0,196,0.00%,102,0
원만,XR,191,0.00%,121,0,5,0.00%,3,0,196,0.00%,124,0
예리,XR,193,0.00%,111,0,3,0.00%,3,0,196,0.00%,114,0
야릇,XR,196,0.00%,84,0,0,0.00%,0,0,196,0.00%,84,0
