date,title,link,content
2023.07.31. 오후 3:45,"
			뉴진스, 국내 음원 1·2위 ‘내꺼야!’
		",https://n.news.naver.com/mnews/article/144/0000903652?sid=106,"[
 
그룹 뉴진스. 어도어 제공그룹 뉴진스(NewJeans)가 타이틀곡 ‘슈퍼 샤이’(Super Shy)와 ‘ETA’로 국내 주요 음원 차트서 쌍끌이 인기를 몰고 있다.뉴진스(민지, 하니, 다니엘, 해린, 혜인)은 31일 미니 2집 ‘겟 업’(Get Up)의 선공개곡이자 트리플 타이틀곡 중 하나인 ‘슈퍼 샤이’로 멜론, 지니 주간 차트(집계기간 7월 24~30일) 1위에 오르며 3주 연속 정상 자리를 수성했다.지난 21일 앨범 발매와 함께 공개된 또 다른 타이틀곡 ‘ETA’의 인기도 급상승 중이다. ‘ETA’는 벅스에서 ‘슈퍼 샤이’의 배턴을 이어받아 1위로 올랐고, 지니와 멜론에서 각각 2, 3위에 랭크됐다.이에 따라 올해 상반기 주요 음원 차트 1, 2위를 장악했던 ‘디토’(Ditto)와 ‘OMG’처럼 ‘뉴진스 vs 뉴진스’ 구도가 재현됐다. ‘슈퍼 샤이’와 ‘ETA’가 올 하반기 장기 흥행을 이어갈지 관심이 집중된다.국내뿐만 아니라 글로벌 차트에서의 상승세도 거침없다.뉴진스 미니 2집 ‘겟 업’은 28일(현지시간) 발표된 영국 오피셜 앨범 차트서 15위에 올랐다. 뉴진스의 첫 영국 오피셜 앨범 차트 진입이자 K-팝 걸그룹으로서는 두 번째 성과였다. 오피셜 싱글 차트에서는 ‘슈퍼 샤이’가 전주 대비 9계단 상승한 52위를 기록해 뉴진스 자체 최고 순위를 또 경신했다.스포티파이 글로벌과 미국 ‘위클리 톱 송’(7월 27일 자)에서는 ‘슈퍼 샤이’가 각각 9위, 12위에 올라 3주 연속 상승세다. 미니 2집에 수록된 나머지 곡들도 모두 차트인에 성공하는 저력을 발휘했다.이에 따라 이번 주 빌보드 ‘핫 100’서 ‘슈퍼 샤이’의 순위 상승은 물론 두 번째, 세 번째 추가 진입곡 탄생도 기대를 모으고 있다. 앨범 초동(음반 발매 후 일주일간 판매량)은 165만 장을 넘겨 이들의 ‘빌보드 200’ 성적 역시 관심사로 떠올랐다.한편 뉴진스는 내달 3일 미국 대형 음악 축제인 ‘롤라팔루자 시카고’에서 K팝 걸그룹 최초로 무대를 꾸릴 예정이다.김하영 온라인기자 hayoung0719@kyunghyang.com
			]"
2023-07-31 17:19:02,신곡 부르다 아이폰 꺼내든 뉴진스...PPL 갑론을박,https://n.news.naver.com/mnews/article/009/0005166263?sid=105,"[




 ‘아이폰 엔딩’을 선보인 뉴진스. 사진|유튜브 스브스케이팝그룹 뉴진스가 아이폰을 들고 신곡 ‘ETA’ 음악방송 무대에 올랐다가 누리꾼들의 갑론을박을 불렀다. 과도한 PPL(제품협찬)이라는 비판과 뮤직비디오와 일맥상통한 콘셉트라는 이해가 오갔다.논란이 된 장면은 뉴진스가 지난 30일 방송된 SBS ‘인기가요’에 출연해 ‘ETA’ 무대를 선보이던 중 벌어졌다.뉴진스는 무대 말미에 아이폰14프로를 꺼내들었고, 멤버들끼리 휴대폰을 돌려가며 서로를 찍어줬다. 단체로 음악방송의 백미로 불리는 ‘엔딩’도 휴대폰으로 촬영했다.



 뉴진스가 신곡 무대 중 아이폰을 꺼내들고 찍는 포즈를 취했다. 사진|유튜브 스브스케이팝2분 30초 가량의 무대에서 20초 가량 간접광고로 보이는 장면이 연출된 점, 휴대폰 모델을 알아볼 수 있도록 클로즈업 된 점 등이 논란을 불렀다.뉴진스는 아이폰 광고 모델로 활동 중이다. 앞서 애플은 지난 21일 아이폰14 프로 모델로 뉴진스의 ‘ETA’ 뮤직비디오를 촬영했다고 밝혔다.뮤직비디오는 뉴진스가 파티에서 공연하던 중 벌어지는 일을 콘셉트로 했다. 멤버들이 아이폰을 손에 들고 춤을 추는가 하면 공연하는 도중 남자 주인공의 모습을 아이폰으로 틈틈이 담아낸다.그리고 이 영상은 아이폰14 프로의 TV CF로도 쓰였다. 요즘 TV를 틀기만 하면 나온다는 ‘뉴진스 아이폰 광고’가 그것이다.



 뉴진스가 모델로 나선 아이폰 광고. 사진|애플이날 방송 후 누리꾼들 사이에 갑론을박이 벌어졌다.일부 누리꾼들은 “광고와 이어지는 콘셉트의 무대인 것 같다. 신선했다”고 받아들이며 “새롭다”, “색다른 시도” 등의 반응을 보였다.반면 일부 누리꾼들은 “광고하는 엔딩요정”, “음악방송에서 PPL까지 봐야 하나?”, “뮤직비디오도 광고, 무대도 광고냐”며 불편하다는 반응을 보였다.
]"
2023.07.31. 오후 1:21,"
			뉴진스·엔시티드림, 7월 5주 차 한터차트 1위 석권
		",https://n.news.naver.com/mnews/article/003/0012005429?sid=106,"[
 
[서울=뉴시스] 2023년 7월 5주 차 한터차트 주간차트. 23.07.31. (사진=한터차트 제공) photo@newsis.com *재판매 및 DB 금지[서울=뉴시스]문예빈 인턴 기자 = 그룹 뉴진스와 엔시티 드림이 한터차트에서 호성적을 기록했다.31일 오전 10시 한터차트 측에서 발표한 2023년 7월 5주 차 주간차트에 따르면 뉴진스와 엔시티 드림이 1위 자리에 올랐다.뉴진스는 미니 2집 '겟 업(Get Up)'으로 7월 5주 월드차트 1위를 석권했다. 월드차트는 음반, 음원, 인증, SNS, 미디어 등 케이팝 아티스트의 글로벌 데이터를 바탕으로 집계, 발표되는 한터 종합차트다.뉴진스의 월드 지수는 2만1314.58점으로 월드차트의 5개 부문 중 음반과 음원 부문에서 만점에 가까운 점수를 기록했다. 엔시티 드림은 월드 지수 1만6277.99점으로 2위, 그룹 트레저(TREASURE)가 월드 지수 1만2139.88점으로 3위에 안착했다.뉴진스는 주간 음반차트에서도 1위를 기록했다. 24일부터 30일까지 집계된 주간 음반차트에서 '겟 업'은 음반 지수 55만9793.50점(판매량 47만3757장)을 기록했다. '겟 업'은 뉴진스의 직전 앨범 '뉴진스' 초동 판매량의 2배 이상을 뛰어넘으며 이들의 커리어 하이 앨범으로 자리매김했다.주간 음반차트 2위는 트레저의 '리부트(REBOOT)'로 음반 지수 26만6462.00점(판매량 22만8897장)을 기록했다. 3위는 셔누·형원의 '디 언씬(THE UNSEEN)'이 차지했다. 음반 지수는 10만8425.66점(판매량 9만929장)이다.주간 인증차트에서는 엔시티 드림이 1위를 석권했다. 엔시티 드림의 정규 3집 '아이에스티제이(ISTJ)'는 지난 한 주 간 홍콩 지역에서 가장 높은 인증률을 기록했다. 그 외에도 태국, 싱가포르, 프랑스, 캐나다 등 다양한 지역에서 엔시티 드림의 앨범을 인증했다. 이어 그룹 엑소(EXO)가 2위, 오드아이써클(ODD EYE CIRCLE)이 3위에 올랐다. 각 앨범 차트 성적 및 판매량에 대한 더 자세한 내용은 모바일 '후즈팬(Whosfan)' 앱과 한터차트 홈페이지를 통해 확인할 수 있다.
]"
2023-07-31 18:05:01,“돌고 돌아 순정” 애플워치도 아니네…뉴진스가 찼던 ‘이 시계’ [언박싱],https://n.news.naver.com/mnews/article/016/0002177174?sid=101,"[




5월 그룹 뉴진스가 컴백 전 공개한 영상에 등장한 디지털 손목 시계 [뉴진스 SNS 캡처][헤럴드경제=신주희 기자] 1990~2000년대를 휩쓸던 중저가 아날로그·디지털 손목 시계가 Y2K(2000년대 스타일)의 향수를 타고 다시 돌아왔다. K팝 아이인 그룹 뉴진스를 비롯한 여러 셀럽이 ‘그때 그 시절’ 시계를 패션 아이템으로 착용하고 등장하면서다. 스마트워치와 명품 시계의 대중화로 사라질 우려에도 자리를 지키며 기회를 엿본 결과다.31일 시장조사기관 유로모니터에 따르면 지난해 국내에서 200달러(약 25만원) 미만인 저가 브랜드 시계 규모는 전년 동기(2493억원) 대비 4.2% 신장한 2600억원으로 조사됐다. 200~1000달러(약127만원) 미만 중가 시계 브랜드의 시장 규모는 3602억원을 기록하며 4.5% 성장했다. 스마트폰과 더불어 대중화된 스마트워치의 아성에도 밀리지 않고 꾸준한 성장세를 보이고 있다는 분석이다.스마트폰과 더불어 대중화된 스마트워치의 아성에도 밀리지 않고 꾸준한 성장세를 보이고 있다는 분석이다. 이 가운데 과거 ‘전자 시계’로 불렸던 디지털 시계의 약진이 두드러진다. G마켓에 따르면 올 상반기(1~6월) 디지털 손목시계 매출은 전년 동기 대비 18% 신장했다.‘Y2K 열풍’ 속 ‘부활’하는 전자시계…올해 상반기 매출 전년比 18% 증가



그룹 뉴진스 멤버 민지가 카시오의 지샥을 착용한 모습 [뉴진스 SNS 캡처]대표적인 브랜드는 카시오의 ‘지샥(G-shock)’이다. 지샥은 1984년 1.5t 트럭에 밟혀도 깨지지 않는 시계 광고로 혜성처럼 등장했다. 내구성으로 입소문을 타기 시작한 지샥은 1990년대 스트리트 패션과 익스트림 스포츠의 유행과 함께 전성기를 맞았다. 군인·스포츠 선수가 착용하는 시계로 인식되던 지샥이 패션 아이템으로 한 단계 성장을 이뤄낸 계기였다. 국내에서는 ‘군용 시계’라는 별명을 얻으며 남녀노소의 손목을 지배했다.1997년 600만대의 판매고를 기록했던 지샥은 2000년대 들어서는 고전을 면치 못했다. 판매고는 연 200만대 수준까지 떨어졌다. 여기에 2014년 애플워치에 이어 2018년 삼성 갤럭시워치가 등장하면서 생존 위기에 직면했다.이 같은 스마트 워치의 잇단 출시로 ‘디지털 시계의 종말론’이 불거졌지만, 지샥은 살아남았다. 브랜드만의 개발 스토리를 전하며 시계 마니아층을 사로잡았다. 800만원대까지 제품을 고급화한 점도 성공 비결로 꼽힌다. 이에 더해 슈프림, 스투시, 메종 마르지엘라 등 패션 브랜드와 협업하면서 클랙식한 라인부터 트렌디한 라인까지 갖춘 시계 브랜드로 자리매김했다.‘스투시 등과 협업’ 800만원대 제품 나온 지샥, 뉴진스 등 착용하며 인기지샥을 비롯한 추억의 손목시계는 최근 국내에서 제2의 전성기를 맞았다. 향수를 불러일으키는 디자인에 나만의 개성을 찾으려는 MZ세대의 욕구와 잘 맞아떨어졌기 때문이다. 뉴진스의 멤버는 빨간색 지샥 빅케이스를 코디해 선보이기도 했다. 나이키가 최근 공개한 뉴진스 CF에서도 멤버들도 지샥을 착용한 모습이 포착되기도 했다.그룹 뉴진스는 올해 5월 컴백 티저 영상에서 디지털 시계로 컴백 날짜를 예고했다. 디지털 시계만이 간직한 2000년대의 감성을 전달하기 위해서다.패션업계 관계자는 “Y2K 트렌드가 의류 뿐만 아니라 시계나 액세서리 등 패션 전반의 아이템으로 확장되고 있다”며 “대표적으로 지샥 같은 브랜드 시계가 패션 아이템으로 뜨고 있다”고 설명했다.




]"
2023.07.31. 오전 10:59,"
			뉴진스, 설레는 해외 출장
		",https://n.news.naver.com/mnews/article/421/0006962344?sid=106,"[
 
(인천공항=뉴스1) 권현진 기자 = 뉴진스가 해외 일정을 위해 31일 인천국제공항에 도착해 미국 시카고로 출국하고 있다. 2023.7.31/뉴스1
			]"
2023.07.31. 오전 9:59,"
			뉴진스, '롤라팔루자 시카고' 무대 위해 출국
		",https://n.news.naver.com/mnews/article/437/0000353347?sid=106,"[
    
   그룹 뉴진스가 31일 오전 인천국제공항을 통해 미국 시카고로 출국했다.   뉴진스는 각기 다른 스타일링으로 매력을 한껏 뽐냈다. 민지는 스포티하면서도 청순한 느낌의 공항패션을 선보였고, 하니와 해린, 다니엘은 여성스러움을 발산했다. 혜인은 시크하면서도 도도한 매력을 전달했다.   뉴진스는 오는 8월 3일 미국 대형 음악 페스티벌 '롤라팔루자 시카고'에 한국 걸그룹 최초로 무대에 오른다. 미니 2집 'Get Up'으로 컴백 후 커리어 하이 행진 중인 뉴진스는 '롤라팔루자 시카고' 무대를 통해 막강한 인기를 선보일 예정이다.      
      
      
      
      
      
      
      
       
      
      
      
      
      
      
    박세완 엔터뉴스팀 기자 park.sewan@jtbc.co.kr (콘텐트비즈니스본부)  
]"
2023-07-30 11:02:01,“Z세대는 무슨 노래 듣냐고? 뉴진스 ‘슈퍼 샤이’요”[돌파구],https://n.news.naver.com/mnews/article/009/0005165644?sid=103,"[
#돌파구(dol+파구) : 아이돌(idol)을 팝니다땅 파도 100원도 안나오는 세상. 하지만 ‘아이돌’을 파면 엔돌핀이 팡팡 터집니다. 눈과 귀가 즐거운, 지친 일상의 돌파구. 매일경제 스타투데이가 보석 같은 아이돌과 그들의 음악을 파볼게요. 오늘은 ‘Z세대 아이콘’ 4세대 걸그룹 뉴진스입니다. 팔로 미~



 ‘Z세대 아이콘’ 뉴진스가 컴백했다. 사진l어도어[Who is 뉴진스(NewJeans)]“매일 찾게 되고 언제 입어도 질리지 않는 진(jean)처럼 시대의 아이콘이 되겠다.”뉴진스(민지, 하니, 다니엘, 해린, 혜인)는 1년 전인 지난해 7월 데뷔와 동시에 돌풍을 몰고 온 4세대 걸그룹이다. 판타지적 세계관으로 팀의 서사를 풀어가는 대다수 K팝 그룹과 달리, 10대 소녀들의 순수함과 청량함을 기반으로 한 하이틴 콘셉트가 K팝 신에 새로운 반향을 불러일으켰다. 그 결과 뉴진스는 지금까지 발매한 세 장의 앨범으로 3연속 밀리언셀러(앨범 100만장 이상 판매)를 달성하며 ‘Z세대 아이콘’으로 떠올랐다.# 역대 걸그룹 데뷔 앨범 초동 신기록 경신데뷔 전부터 ‘민희진 걸그룹’으로 주목받은 이들은 데뷔 앨범 ‘뉴진스(New Jeans)’로 초동(발매일 기준 일주일 동안의 음반 판매량) 31만장을 돌파하며 역대 걸그룹 데뷔 앨범 초동 신기록을 갈아치웠다. 뉴진스 이전 최고 기록은 르세라핌이 ‘피어리스(FEARLESS)’로 세운 30만 7450장이었다.(※ 뉴진스 소속사 어도어 민희진 대표는 20년간 SM엔터테인먼트에서 크리에이티브 디렉터로 활동하며 그룹 소녀시대, 샤이니, 에프엑스, 엑소, 레드벨벳 등의 콘셉트와 활동 전략을 진두지휘한 미다스의 손이다.)뿐만 아니다. 뉴진스는 트리플 타이틀곡 ‘어텐션(Attention)’, ‘하이프 보이(Hype Boy)’, ‘쿠키(Cookie)’ 모두를 국내 주요 음원차트 최상위권에 올려놨다. 이 중 ‘하이프 보이’로는 ‘뉴진스의 하입보이요’라는 밈(meme)까지 탄생시키며 선풍적인 인기를 끌었다.



 4세대 K팝 그룹 최초로 미국 빌보드 ‘핫100’에 입성한 뉴진스. 사진l어도어# 4세대 K팝 그룹 최초 美 빌보드 ‘핫100’ 입성뉴진스의 신드롬급 인기는 다음 앨범에서도 계속됐다. 지난 1월 발매한 싱글 앨범 ‘오엠지(OMG)’의 타이틀곡 ‘오엠지(OMG)’와 수록곡 ‘디토(Ditto)’로 다시 한번 가요계를 평정한 것.먼저 ‘디토’는 1월 21일자 미국 빌보드 메인 싱글 차트 ‘핫100’ 96위에 랭크됐다. 이는 데뷔 6개월 만의 성과로, 4세대 K팝 그룹 중 처음으로 이 차트에 진입했다는 점에서 의미가 크다.‘오엠지’ 역시 1월 28일자 ‘핫100’ 차트에 91위로 진입한 뒤 79위, 77위, 74위까지 계속해서 자체 최고 순위를 경신하는 쾌거를 이뤘다.국내 음원 차트에서의 존재감도 두드러졌다. ‘디토’로는 국내 최대 음원 사이트인 멜론에서 역대 최장기간(14주 연속) 1위를 차지하는 대기록을 썼고, ‘오엠지’ 또한 발매 동시에 ‘디토’와 1, 2위를 다투는 막강한 음원 파워를 과시했다.뉴진스는 이 같은 성적에 힘입어 명실상부 ‘광고계 블루칩’으로 떠올랐다. 7월 광고모델 브랜드 평판 분석에서는 블랙핑크에 이어 2위에 올랐다. 통신, 전자, 금융, 패션 등 인기 분야 광고를 싹쓸이했으며, , 글로벌 명품 브랜드들도 앞다퉈 앰버서더 발탁 등으로 손을 내밀었다.단순히 광고 모델을 넘어 뉴진스는 트렌드가 됐다. 뉴진스가 쓰는 휴대폰, 뉴진스가 입은 옷 그대로 따라 쓰고 입고 싶어하는 10대 소녀들 때문에 엄마 아빠들의 한숨이 깊어진다는 우스갯소리도 나온다.



 뉴진스의 미니 2집 ‘겟업’이 선주문량 172만장을 돌파했다. 사진l어도어[What is ‘겟업(Get Up)’]뉴진스가 ‘오엠지’ 이후 약 6개월 만에 발매한 미니 2집으로, 뉴진스의 데뷔 1주년(2023년 7월 22일)을 하루 앞둔 지난 21일 공개됐다. ‘겟업’에는 트리플 타이틀곡 ‘슈퍼 샤이(Super Shy)’, ‘쿨 위드 유(Cool With You)’, ‘ETA’를 비롯해 ‘뉴진스(New Jeans)’, ‘에이에스에이피(ASAP)’, ‘겟업(Get Up)’까지 총 6곡이 담겼다.선주문량은 전작(약 80만장) 대비 두 배 이상 껑충 뛴 172만장이다. 지난해 8월 데뷔 앨범으로 돌풍을 일으킨 이들의 첫 여름 컴백에 대한 관심이 수치로 드러난 것. ‘뉴진스’, ‘오엠지’에 이어 ‘겟업’으로 3연속 밀리언셀러 달성을 확실시한 뉴진스가 데뷔 1년 만에 ‘더블 밀리언셀러(앨범 200만장 이상 판매)’를 이뤄낼 지에 관심이 쏠린다.아울러 선공개 타이틀곡 ‘슈퍼 샤이’는 7월 18일자 미국 빌보드 메인 싱글 차트 ‘핫100’에 66위로 진입했다. 이는 전작인 ‘오엠지’의 이 차트 최고 순위 74위를 넘어선 것. 이어 7월 25일자 빌보드 ‘핫100’ 차트에서는 두 계단 상승한 64위를 기록, 뉴진스의 글로벌 흥행이 어디까지 이어질지 기대를 모은다.



 뉴진스 신곡 뮤직비디오에 출연한 정호연(위)과 양조위. 사진l뉴진스 뮤직비디오[트리플 타이틀곡 No.1 ‘슈퍼 샤이’]저지 클럽(90년대 후반 미국 뉴저지에서 시작된 일렉트로닉 댄스 뮤직 장르)과 빠른 비트에 기반한 유니크한 노래로, 뉴진스 멤버들의 개성 있는 보컬에 더해 트렌디 하면서도 상큼하고 통통 튀는 매력이 넘친다. 가사에는 좋아하는 소년 앞에서 떨리고 부끄러워하는 소녀의 마음을 담았다.[트리플 타이틀곡 No.2 ‘쿨 위드 유’]UK 개러지(90년대 초반 영국에서 생긴 전자음악 장르) 리듬을 바탕으로 한 뉴진스만의 독특하고 매력적인 보컬이 돋보이는 곡이다. 그리스 신화 ‘프시케와 에로스’ 에피소드를 현대적으로 각색한 뮤직비디오에는 글로벌 스타 정호연, 양조위가 출연해 화제를 모으고 있다. 정호연은 한 남자를 사랑하게 된 사랑의 신 에로스로 분해 섬세한 감정 연기를 펼쳤으며, 양조위는 에로스를 방해하는 역할로 강렬한 인상을 남겼다.[트리플 타이틀곡 No.3 ‘ETA’]‘ETA’는 도착 예정 시간(Estimated Time of Arrival)의 줄임말로, 브레이크 비트에 브라질 리우데자네이루에서 탄생한 파벨라 펑크(Favela Funk)를 더한 신나는 노래다. 뮤직비디오에는 친구의 남자친구가 낯선 여자에게 다가가는 장면을 목격한 멤버들이 두 사람의 모습을 카메라로 찍어 상황을 공유하고, 분노한 친구가 차를 몰아 현장으로 달려가는 스토리가 현장감 넘치게 담겼다.# 기자평 : ‘쿨 위드 유’ 뮤직비디오 사이드A 버전과 ‘쿨 위드 유’ &amp; ‘겟업’ 사이드B 버전 뮤직비디오를 이어서 감상할 것을 추천한다. 스토리라인이 연결되는 두 뮤직비디오가 마치 한 편의 영화를 연상시켜  보는 이들을 빠져들게 한다.넷플릭스 ‘오징어 게임’으로 글로벌 스타가 된 정호연은 신의 지위를 버리고 사랑을 택하는 에로스의 모습을 밀도 높은 연기력으로 그려냈으며, 에로스의 사랑을 방해하는 아프로디테로 묘사된 백발의 홍콩 스타 양조위는 눈빛만으로도 미친 존재감을 드러냈다. 여기에 수호천사로 변신한 뉴진스의 천사 같은 목소리가 서정적인 스토리와 어우러져 감동을 선사한다.[멤버별 ‘업(UP)’ 포인트]



 뉴진스 민지. 사진l스타투데이DB# 민지(김민지, 19): ‘한국의 올리비아 핫세’로 불리는 확신의 센터상. 너무 예뻐서 한 번도 안 본 사람은 있어도 한 번만 본 사람은 없다는 공식 입덕 멤버.



 뉴진스 하니. 사진l스타투데이DB# 하니(하니팜, 19): 뉴진스 내 귀여움을 담당하고 있는 하니. 호주 베트남 이중 국적. 평균 키 166cm를 자랑하는 멤버들 사이에서 161.7cm의 키로 토끼 같은 귀여움을 뽐냄.



 뉴진스 다니엘. 사진l스타투데이DB# 다니엘(다니엘 마쉬, 18): 호주 한국 이중 국적. 2011년 종영한 tvN 예능프로그램 ‘레인보우 유치원’에서 러블리한 매력으로 랜선 이모·삼촌들의 사랑을 받은 다니엘. 약 10년 만에 훌쩍 커서 돌아온 ‘정변의 아이콘’.



 뉴진스 해린. 사진l스타투데이DB# 해린(강해린, 17): 유니크한 고양이상을 담당하고 있는 해린. 헤어스타일과 메이크업에 따라 느낌이 180도 달라진다는 것이 특징. 화려한 외형과 달리 4차원 매력이 돋보이는 순수함이 매력 포인트.



 뉴진스 혜인. 사진l스타투데이DB# 혜인(이혜인, 15): 뉴진스의 최장신 막내. 170cm의 큰 키에 작은 두상, 길쭉한 하체까지 ‘넘사벽’ 비율로 바비인형으로 불림.



 ‘겟업’으로 ‘커리어 하이’ 시동을 건 뉴진스. 사진l어도어[속닥속닥 기자 토크]# 데뷔하자마자 톱 걸그룹으로 단숨에 진입한 뉴진스는 데뷔 1주년 즈음해 내놓은 두 번째 미니앨범을 통해 대중가수로서 안주하기보단 또 한 번 실험을 택했다. ‘슈퍼 샤이’와 ‘ETA’, ‘쿨 위드 유’ 세 곡의 타이틀곡이 주는 감상은 데뷔 타이틀곡 ‘어텐션’과 ‘하입보이’가 K팝 신에 일으켰던 센세이션이나 약 100일간 멜론 일간차트 1위를 달릴 정도로 압도적이었던 ‘디토’만 하진 못하지만 음악 자체로서의 독보성이나 퀄리티는 기대를 여실히 충족시킨다.‘뉴버지(뉴진스의 아버지)’ 프로듀서 250 외에도 김심야, FRANK, 빈지노 등 ‘힙합신 1티어’ 뮤지션들은 뉴진스를 통해 이 실험을 성공적으로 해냈는데, 전작들에 비해 계속 듣고 싶은 맛은 다소 덜하지만 숏폼 플랫폼 등을 통해 대중의 귀에 제대로 ‘때려박아’ 중독시키고 있다. (글로벌) 성적으로는 이미 전작들을 뛰어넘었으니 앞으로도 계속 그들만의 실험적 여정을 계속할 수 있는 원동력은 얻은 셈이다.(박세연 기자)# 뉴진스는 이번 트리플 타이틀곡 ‘슈퍼 샤이’, ‘쿨 위드 유’, ‘ETA’에서 각기 다른 매력의 퍼포먼스를 선보인다. ‘슈퍼 샤이’에서는 청량+하이틴 콘셉트가 돋보이는 왁킹 댄스를, ‘쿨 위드 유’에서는 현대 무용을 접목한 컨템포러리 댄스로 눈길을 사로잡았다. 또 ‘ETA’에서는 신나는 비트에 어울릴 역동적인 퍼포먼스로 흡인력을 높였다.각 곡의 분위기에 어울리는 스타일을 ‘찰떡’으로 소화한 뉴진스의 다채로운 콘셉트 소화력이 어디까지일지 궁금하다.(ps. 하이틴 무비 속 치어리더를 떠오르게 하는 다니엘의 ‘슈퍼 샤이’ 뮤직비디오 착장과 포니테일은 ‘박제각’이다.)(이다겸 기자)
]"
2023.07.31. 오전 10:10,"
			뉴진스 민지 '인형이 따로 없네!'[★포토]
		",https://n.news.naver.com/mnews/article/108/0003171155?sid=106,"[
				
				
				[스타뉴스 | 인천국제공항=임성균 기자]  
뉴진스 민지 '인형이 따로 없네!'[★포토]그룹 뉴진스(NewJeans) 민지가 미국 시카고 롤라팔루자 공연을 위해 31일 오전 인천국제공항을 통해 출국하고 있다. 2023.07.31
]"
2023.07.31. 오전 9:24,"
			뉴진스 해린, 일상이 화보
		",https://n.news.naver.com/mnews/article/421/0006962004?sid=106,"[
 
(인천공항=뉴스1) 권현진 기자 = 뉴진스 해린이 해외 일정을 위해 31일 인천국제공항에 도착해 미국 시카고로 출국하고 있다. 2023.7.31/뉴스1
			]"
2023.07.31. 오전 9:09,"
			[포토]뉴진스 하니, 인형의 인사
		",https://n.news.naver.com/mnews/article/112/0003645174?sid=106,"[
 
[헤럴드POP=민선유 기자]그룹 뉴진스의 하니가 31일 오전 해외 일정 참석차 인천국제공항을 통해 미국으로 출국하고 있다.
]"
