date,title,link,content
2023.06.30. 오후 4:08,"
			블랙핑크X베르디 '본 핑크 캡슐 컬렉션, 英 런던서 첫 선
		",https://n.news.naver.com/mnews/article/312/0000616397?sid=106,"[
				
				
				[텐아시아=류예지 기자] 
글로벌 톱 아티스트로 우뚝 선 블랙핑크(BLACKPINK)와 세계적 그래픽 디자이너 베르디(Verdy)가 협업한 캡슐 컬렉션이 드디어 공개됐다. 엔터테인먼트 인프라 및 IP사업 전문기업 YG PLUS는 ‘블랙핑크 월드투어 본 핑크(BORN PINK) 캡슐 컬렉션’ 팝업스토어를 29일(현지시각) 영국 런던에 개장했다고 밝혔다.아트워크 ‘걸스 돈 크라이(Girls Don't Cry)’, ‘웨이스티드 유스(Wasted Youth)’로 오늘날 스트리트웨어 씬에서 가장 핫한 아티스트로 꼽히는 베르디는 그의 상징적인 캐릭터 '빅(Vick)'뿐만 아니라 블랙핑크를 위해 새로 디자인한 캐릭터들을 이번 캡슐 컬렉션에 담았다. 두 아티스트의 독특한 스타일과 예술적 감각이 결합된 프리미엄 티셔츠, 후디, 모자, 악세서리 등 한정판 상품을 구매하려는 팬들은 개장과 동시에 팝업스토어를 가득 메웠다. 또한, 방문객들은 전용 프레임이 들어간 특수 제작 포토부스에서 네컷포토를 촬영하는 등의 특별한 추억을 쌓을 수 있다.YG PLUS 관계자는 “블랙핑크만의 스타일리시한 감성과 베르디의 창의력이 결합된 ‘본핑크 캡슐 컬렉션’ 공개 소식에 유럽 각지에서 팬들이 찾아왔고, 비가 내리는 날씨에도 불구하고 오랜 시간 긴 줄을 서서 입장을 기다렸다”고 현지 상황을 전했다.본핑크 캡슐 컬렉션 팝업스토어는 29일부터 7월 1일(현지시각)까지 총 3일간 런던에서 운영된다. 팝업스토어는 전세계 주요 도시에서 계속해서 열릴 예정이며, 해당 도시들에 대한 정보는 추후 공개될 예정이다. 류예지 텐아시아 기자 ryuperstar@tenasia.co.kr
			]"
2023.06.30. 오후 6:23,"
			‘미코 善’ 유시은 “블랙핑크 제니 닮은꼴? 표정 닮아”[화보]
		",https://n.news.naver.com/mnews/article/009/0005152157?sid=106,"[
 
 
2022년 제66회 미스코리아 선발대회에서 선(善)에 당선된 유시은. 1월 방영된 채널S ‘진격의 언니들-고민커트살롱’에서 ‘블랙핑크 제니 닮은꼴’ 미모의 사연자로 눈도장을 찍었으며 최근 탁재훈의 유튜브 채널 ‘노빠꾸탁재훈’에서 당돌한 매력을 뽐냈다.뛰어난 피지컬과 매력적인 마스크는 물론 어디 내놔도 기죽지 않는 당당함이 도드라지는 유시은은 연성대 항공서비스학과 졸업 이후 계속해서 배우의 꿈을 좇는 중이라고 했다.감출 수 없는 끼에 배우 및 방송인으로서의 활동이 기대되는 모태미녀 유시은이 bnt와 만나 화보 촬영 및 인터뷰를 진행했다. 화보는 몽환, 퓨어, 다크 무드로 진행됐다. 
 2022 미스코리아 선 유시은. 제공|bnt 
 2022 미스코리아 선 유시은. 제공|bnt미스코리아 대회 출전 계기를 묻자 유시은은 “평소 다양한 분야에 끼가 있다고 부모님께서 말씀해 주셨었기도 하고 코로나 이후 쉬고 여행 다니며 자아성찰하는 시간이 있었다. 엄마가 ‘나이도 마지막일지 모르니 미스코리아에 나가보지 않을래’하고 권유하시더라. 처음에는 배우한다고 거절했는데 이후 다시 생각해 보고 도전하게 됐다. 생각보다 너무 많은 부분에 대해 연습과 연구가 필요했다. 그 대회를 준비하면서 굉장히 많이 배우고 변화 됐으며 발전한 것 같다”고 말했다.결과를 예상했는지, 발표 당시 심경에 대해 묻자 유시은은 “자신을 믿기 때문에 긴장을 잘 안 하는 편이긴 하나 대회에 매력적인 분들, 쟁쟁하고 예쁘신 분들이 많지 않냐. 그냥 마음을 좀 비우고 했다”고 운을 뗐다.이어 “다만 ‘아, 내가 아니면 누가 되겠어’ 이런 마음가짐으로 하긴 했지만 다들 출중하시고 실력도 좋으셔서 겸손하게 임하려 했다. 당시 28박 29일 합숙을 진행, 결과가 어떻든 ‘빨리 집에 가서 부모님, 반려견도 보고 싶다’ 생각했다. 이름이 호명됐을 때 실감이 크게 나지 않았는데 무대 밑에서 부모님의 얼굴이 보였는데 너무 좋아하셔서 그 모습을 보고 ‘뿌듯하다. 해냈다’는 마음이 들었다”며 웃어 보였다.스스로 봐도 예쁜 부분에 대한 질문엔 “눈, 코, 입 따로 봤을 때도 물론 매력적이라 생각을 하지만 조화가 이뤄졌을 때 빛을 보는 합, 유니크함이 보이는 것 같다”고 당당히 자신의 매력을 소개했다. 
학창 시절 인기몰이 했을 것 같은데 관련 에피소드가 있냐 묻자 “고백을 많이 받았다. 두루두루 잘 지내는 편이었고 솔직한 성격과 외모와는 다르게 털털해 인기가 많았던 것 같다. 그 당시엔 어려서 겁도 많았고 남자들이 어렵기도 했다. 지금과는 다른 텐션이었어서 불편해 도망 다녔었다”며 미소 지었다.‘블랙핑크 제니 닮은꼴’이라는 말에 대해서는 “미스코리아 활동하면서 닮았다고 많은 분들이 말씀해 주셨는데 어떤 표정이나 메이크업 스타일링에 따라 닮은 부분들이 보여 그런 것 같다. 요즘은 얼굴 젖살이 조금 더 빠져서 그때보다는 덜 듣는 것 같다”고 했다.연성대 항공서비스학과, 배우를 꿈꾸기 전 승무원을 원해서 지원했는지 물었더니 “고등학생 때 배우가 꿈이었는데 연영과 입시 중 부모님께서 ‘이미지로 봤을 때 승무원도 잘 어울릴 것 같다’ 해주시고 승무원에도 관심이 생겨 수시에 항공서비스학과를 정시엔 연영과를 넣었다. 이후 수시에 합격해 항공서비스학과에 진학하게 된 것”이라고 답했다. 
 
평소 관리 비법에 대해서는 “12시 이전 취침, 아침엔 일찍 일어나서 따뜻한 물과 영양제로 하루를 열고 건강한 음식을 먹으며 규칙적인 생활을 하려 한다. 잘 붓는 편이라 혈액순환을 위해 스트레칭을 자주 하고 내 몸에 귀 기울이려 노력한다”고 자신의 루틴을 요약했다.유시은은 롤모델로 “미스코리아 선배이자 배우 이하늬”를 꼽으며 “항상 사람들에게 좋은 에너지를 주시고 모범이 되시며 가치관 등 본받을 점이 너무 많다 생각해 매우 존경한다”고 답했다.이상형을 묻자 “비슷한 결의 성격을 본다. 대화가 잘 통하고 뾰족하지 않고 둥글둥글한 분이 잘 맞는 것 같다. 외적인 이상형은 강아지 상, 선한 인상의 분을 선호해 연예인을 꼽자면 박보검”이라고 고백했다.마지막으로 유시은은 앞으로 “배우 및 방송인으로서 많은 분야에서 두각을 나타내고 싶다”고 포부를 밝혔다.사진제공|bnt
]"
2023.06.28. 오후 3:50,"
			블랙핑크 지수 '꽃' MV, 유튜브 3억뷰 돌파
		",https://n.news.naver.com/mnews/article/001/0014032068?sid=106,"[
 
    (서울=연합뉴스) 블랙핑크 지수의 솔로곡 '꽃' 뮤직비디오가 지난 27일 오후 6시 22분께 유튜브 조회수 3억 회를 넘었다고 소속사 YG엔터테인먼트가 28일 밝혔다. 사진은 블랙핑크 지수 '꽃' 뮤직비디오 유튜브 3억뷰 돌파 기념 이미지. 2023.6.28 [YG엔터테인먼트 제공. 재판매 및 DB 금지]    photo@yna.co.kr
]"
2023.06.30. 오전 6:54,"
			BTS 블랙핑크 이어 '빌보드' 간다..'환불원정대' 만든 라도와 '의기투합' [어저께TV]
		",https://n.news.naver.com/mnews/article/109/0004879918?sid=106,"[
 
[OSEN=김수형 기자]  ‘홍김동전’에서 라도와 프로젝트를 진행한 가운데, BTS(방탄소년단)와 블랙핑크에 이어 빌보드차트 진입을 꿈꿨다. 29일 방송된 KBS2TV ‘홍김동전’에서 ‘갓생살기’ 숨겨진 이야기가 그려졌다.이날 라도를 만났던 멤버들은 “다가오는 여름, 또 뵐 수 있다면 좋겠다”고 했고 라도도 “내가 미쳤나 마음이 점 움직이려 한다”며 고민했다.그렇게 프로듀서 라도를 다시 만났다. 마침 본인 작업을 마쳤다고 하자 홍진경은 “혹시 우리 곡 작업?”이라 물었고 라도는 “부담스럽다”며 주춤, 모두 자연스럽게 자리를 만들었다. 하지만 주우재는 “편하게 드셔라 1인분에 5만원 밖에 안 한다”고 했고 라도는 불편함에 수저를 내려놓아 웃음짓게 했다.다시 편하게 대화하기로 했다. 혈액형부터 성향이 잘 맞는다는 멤버들. 라도는 “근데 난 운명을 믿어, 운명론자다”고 하자 홍진경은“데쟈뷰 왔다, 이렇게 밥먹은 적 있다”며 “그리고 음반작업 하자고 했다”며 다시 음반작업을 언급, 라도도“에너지다, 진심인지 열정과 태도를 본다, 근데 열정이 있어보인다”며 긍정적인 모습을 보였다. 
이때 홍진경은 “화장실 다녀오겠다 실수할까봐 그렇다”며 자리를 뜨더니, 알고보니 라도가 작업한 곡을 작업하고 왔다.하지만 이를 주우재가 알아채자 홍진경은 “너같은 간신배때문에 내가 망한다”고 말해 폭소하게 했다.다시 본론으로 들어가, ‘환불원정대’ 등 명곡을 탄생시킨 라도에게 어느 정도 작업하는지 묻자 라도는 “1년에 많으면 3곡, 다작을 안 한다 퀄리티를 챙긴다”며 양보다 질이라고 했다. 그러면서 “올해는우리 프로젝트하려고 한다”며공식적으로 ‘홍김동전’과 컬래버레이션 인정, “사실 궁금하다, 모두가 안된다는 걸 하는 것을 좋아한다”고 했다. 라도는 “안 될 것 같은데 대화했을 때끌리는 무언가를 봤고 도전하고 싶다”며 진지하게 말했다.분위기를 몰아, 라도는 “그래서 지금 오픈해도 되나 싶다 촬영 이후로 팀 이름 있으면 좋겠다고 싶더라”며“조화로운 듯 조화롭지 않은 오묘함이 있어 팀이름은 ‘언밸런스’, 그렇게 밸런스를 만드는 것 같다”고 해 모두 환호하게 했다. 라도는“샘 스미스 행보와 의상도 언밸런스한데 홍진경과 한 끗차이, 홍스미스다 “며 라도에게 영감을 준 뮤즈는 홍진경이라고 했다.타이틀 제목도 생각했다는 라도는 “가제는 ‘트러블’이다, 아직 정확하게 구상하지 않았으나 그런 빌드업을 구상하려한다”고 말했다. 멤버들은 “우리는 뭘 준비할까”라며 기대, 팀 이름 떠올리며 라도는 “의상 콘셉트와 한 곡씩 고민해봤으면 좋겠다”고 했고, 급전개에 멤버들은 “이렇게 진지하게 해주니 멋진 팀 하고싶다”고 했다. 
그렇게 ‘언밸런스’ 콘셉트 회의가 열렸다. 숙제검사를 하게 된 시간. 멤버들이 생각하는 브리핑을 발표했다.우영부터 시작,우영은 “음악에 집중해봤다, 7~80년대 디스코 펑크 딱 ‘CHIC’란 팀이 바로 떠올랐다”고 했고,모두 “역시 아티스트 음악하는 거 맞다 ,감동이다”며 감동, 라도도 “ 프로듀서 역할을 한 실질적 에이스”라 인정했다.주우재도 발표했다. 주우재는 90년대 청춘 드라마 ‘느낌’의 OST 곡을 꺼냈다. 우희진이 김숙, 이본이 홍진경, 손지창이 조세호, 김민종이 주우재, 이정재가 우영이란 말에 모두 민망, 라도도 “영감이 확 사라졌다 느낌이 안 온다”며 “도저히 이해가 안 된다 그냥 들어가셔라”고 말해 주우재에게 굴욕을 안겼다. 라도는 “이렇게 멤버들 생각이 다 달라 내가 있는 것”이라며 프로듀서 스웩을 보였다.김숙은 “라도와 글로벌로 가야한다 월드스타를 통해 한복도 잘 알려져 있다”고 했고 조세호도전통미와 서양의 문화를 받아들이는 느낌의 콘셉트를 전했다. 이때, 홍진경은 시크한 콘셉트를 언급, 종이로 다 오린 프로젝트를 선보였고,모두 “핸드메이드 직접한 거 맞나, 평창동 집을 걸고 말해달라”고 해  홍진경을 당황하게 했다. 
결국 홍진경은 노래로 화답, 바로 립싱크가 발각돼 현장을 초토화시켰다. 라도도 “올해들어 진짜 깜짝 놀랐다”며 깜짝,  “첫 소절이 너무 좋아, 비율은 기계 80%들어간 것 같다”고 했다. 이에 홍진경은 “녹음실에서 사비로 녹음했다”며 노력한 성의를 보기위해 립싱크 무대를 공개, 모두 “오토튠 뭐냐 사이버싱어, 사기꾼이다”며 폭소했다.드디어 진짜 실력 알 수 있는 라이브 들어볼 차례. 한소절 듣자마자 모두 자리를 퇴장했다.라도도 최대 난제인 홍진경의 진짜 노래실력에 진땀, 표정이 어두워져 폭소하게 했다. 결국 노래를 강제 종료한 가운데 우영은 홍진경의 프로젝트를 꺼내며“마지막으로 묻겠다 종이는 당신이 한 거냐”고 물었고, 조세호도 “미안합니다 다섯글자면 된다”며 폭소, 홍진경은 “미안합니다”라고 말하며 자신이 한 것이 아니라고 인정해 폭소하게 했다.파격적인 홍진경 무대 후, 멤버들의 노래실력을 모두 들은 라도는 “난 이미 느낌이 왔다 남자와 여자 중심으로 나뉠 것 같다”며 구상했다. 이에 멤버들은 “사실 이런 프로젝트 메인은 홍진경과 김숙, 이미 차트1위도 하셨다”며 과거 ‘언니쓰’로 활동했던 것을 언급,“우린 1위가 아니라 즐기려는 것”이라 했다. 
이때, 라도는 “우리 목표는 빌보드차트다 뮤직뱅크 1위보다 빌보드 차트가 빠르다”며 목표를 언급, 특히“샘스미스가 10월에 내한다”며 5년 만에 내한 예정인 샘스미스 공연을 언급했다. 라도는 “그 오프닝 무대에 서고 싶다”며 남다른 포부를 전했다.이에 멤버들은 “우리를 데리고?”라며 깜짝, 따로 샘스미스와 친분이 있는지 묻자 라도는 “친분은 없다”고 답했다.그러면서 라도는 “우리나라에  샘스미스 오프닝설수 있는 아티스트는 방탄소년단, 블랙핑크 그리고 언밸런스 뿐”이라며 기대,모두 “이 프로젝트 안 하려는 거냐”며 의심했다. 라도는 다시 한번 빌보드 차트 목표에 대해 “이건 진짜 진심”이라고 하자,제작진도 “우린 꿈을 못 이룰지 언정 말도 안 되는 목표를 세우자고 했다”고 했다. 꿈같은 얘기지만 갈 수 있다는 것.라도는 “재밌지 않나, 빌보드 갈 수 있는 거 아니냐”고 하자 김숙과 홍진경은“그래 안 되면 어떠냐, 아무도 기대 안하고 실망도 안 할 것”이라며 시작부터마음을 내려놓았다. 
결국 과정을 재밌게 즐기자며 각자 꿈꾸는 목표의 기대치를 물었다. 홍진경은 “대박나서 내년엔 해외투어 가고싶다”며 대답,주우재는 “백악관 만찬 초청받는 것”이라 했고 김숙도 “너무 바빠서 헬기를 타고 다니고 싶다”며 꿈을 전했다 /ssu08185@osen.co.kr
]"
2023.06.30. 오후 4:07,"
			블랙핑크 제니, 절친 신현지 춤에 버럭 “나한테 배웠다고 하지 말랬지”
		",https://n.news.naver.com/mnews/article/609/0000742891?sid=106,"[
 
[뉴스엔 이하나 기자] 블랙핑크 제니가 절친 신현지의 방송에 유쾌한 반응을 보였다. 제니는 6월 30일 자신의 인스타그램 스토리에 지난 28일 신현지가 출연한 MBC ‘라디오스타’ 방송을 공유했다. 영상에서 신현지는 제니에게 배운 블랙핑크의 ‘핑크 베놈’ 춤을 선보였지만, 어설픈 동작으로 MC들의 지적을 받아 웃음을 안겼다.  
제니는 “너 내가 어디 가서 나한테 배웠다고 하지 말랬지. 스트레잇투유어돈나 하지 말랬지. 잠깐..우리 집에서 보자”라고 적으며 신현지의 계정을 태그했다. ‘라디오스타’ 출연 당시 신현지는 “명품 C사 피팅을 하러 갔다가 제니와 엘리베이터 앞에서 우연히 마주쳐 간단하게 인사를 주고받고 헤어졌는데 DM이 왔다”라며 “(제니가) ‘See you tomorrow Unnie’라고 해서 ‘저 언니 아닌데요?’라고 했다. 다음 날 바로 놀이공원을 갈 정도로 친해졌다. 정말 신기한 게 내가 파리에 있으면 제니도 콘서트를 하러 파리로 온다. (계획을) 안 짜도 똑같은 도시에 계속 있다”라고 친분을 자랑했다. (사진=제니 인스타그램, MBC '라디오스타' 캡처)
]"
2023-06-27 09:56:01,"블랙핑크 제니 출연 ‘디 아이돌’, 선정성 논란 속 조기 종영",https://n.news.naver.com/mnews/article/009/0005149815?sid=104,"[




 제니가 출연한 ‘디 아이돌’. 사진|HBO  캡처그룹 블랙핑크 제니의 연기 도전작인 미국 드라마 ‘디 아이돌((The Idol)’이 조기 종영한다.26일(현지시간) 미국 매체 데드라인에 따르면 HBO 드라마 ‘디 아이돌’은 오는 7월 2일 5회를 끝으로 종영한다. 당초 6부작으로 알려졌던 ‘디 아이돌’은 선정성 논란과 혹평 속에 결국 조기 종영하게 됐다.‘디 아이돌’은 팝 아이돌 스타를 둘러싼 업계와 그 안에서 연결되는 관계를 그린 작품이다. 조니 뎁의 딸 릴리 로즈 뎁이 주연 조셀린 역을 맡았으며, 제니는 조셀린의 친구이자 백업댄서인 다이안 역으로 출연, 배우로 데뷔했다.



 ‘디 아이돌’로 칸 레드카펫을 밟은 제니. 사진|연합뉴스제니는 ‘디 아이돌’로 제76회 칸 영화제에 초청받아 레드카펫에서 스포트라이트를 받기도 했다.하지만 예고편부터 수위가 높다는 평을 받았던 ‘디 아이돌’은 지난 4일 첫 방송부터 선정성 논란에 휩싸였다.제니는 브라톱에 한 뼘도 안 되는 짧은 핫팬츠를 입고 출연해 남성 댄서들과 파격적인 댄스를 선보였으며, 제니가 연이어 흡연하는 장면이 나오면서 흡연의 위험성을 간과했다는 비판도 받았다. 뿐만 아니라 다른 출연자들의 노출과 자극적인 베드신 등도 도마 위에 올랐다.‘디 아이돌은’ 당초 시즌2까지 기획됐으나, 현재는 제작이 불투명한 상황. 혹평과 선정성 논란에 시청률까지 저조한 탓으로 추측된다.다만 HBO는 데드라인에 “‘디 아이돌’ 시즌2 여부가 결정되지 않았다”며 무산됐다는 보도를 부인했다.
]"
2023.06.26. 오후 2:45,"
			블랙핑크, 앙코르 하노이
		",https://n.news.naver.com/mnews/article/144/0000895897?sid=106,"[
 
YG엔터테인먼트 제공블랙핑크(BLACKPINK)가 베트남 추가 공연을 확정했다.26일 YG엔터테인먼트는 블랙핑크 공식 SNS를 통해 ‘BLACKPINK WORLD TOUR [BORN PINK]’ 베트남 공연 소식을 알렸다. 블랙핑크는 오는 7월 29일과 30일 양일간 총 2회 공연으로 베트남 팬들을 만난다.이번 공연은 전 세계적 팝스타들이 발자취를 남긴 My Dihn National Stadium(미딩 네셔널 스타디움)에서 열린다. 블랙핑크는 4만 명 이상 수용 가능한 현지 최대 규모 공연장에 K팝 걸그룹 최초로 입성, 글로벌 아티스트로서 막강한 존재감을 다시 한번 입증했다.이로써 블랙핑크는 아시아에서만 총 13개 지역, 26회 공연으로 투어 규모를 확장하게 됐다. YG 측은 “모두 전 세계 팬분들의 뜨거운 성원 덕분”이라며 “보내주신 사랑에 걸맞은 완성도 높은 무대로 보답할 예정이니 많은 관심 부탁드린다”고 밝혔다.한편 블랙핑크는 약 150만 명을 동원하는 K팝 걸그룹 최대 규모 월드투어 ‘BLACKPINK WORLD TOUR [BORN PINK]’를 진행 중이다. 오는 7월 열리는 영국 음악 축제인 ‘하이드 파크 브리티시 서머 타임 페스티벌’에서는 K팝 아티스트 최초 헤드라이너로 무대를 펼친다.김지우 온라인기자 zwoome@kyunghyang.com
			]"
2023-06-30 11:31:01,"""바비인형인 줄""…제니도 입은 핑크 패션 뭐길래 '돌풍'",https://n.news.naver.com/mnews/article/015/0004862706?sid=103,"[
의류부터 신발까지 '핑크 패션' 주목LF 운영 브랜드 '빠투' 핑크 아이템 매출 증가



사진=그룹 블랙핑크 제니 인스타그램 캡쳐인형 '바비'와 같이 분홍색을 전면에 내세운 '바비코어(Barbiecore)' 패션이 유행하고 있다. 1020세대 사이 1990년대 말~2000년대 초 감성의 'Y2K패션 열풍'이 불면서 핑크의 인기가 확산한 결과다. 30일 신세계인터내셔날에 따르면 다양한 패션 브랜드들이 화려하고 발랄한 분홍색 의류와 액세서리 아이템을 앞다퉈 선보이고 있다.  



사진=신세계인터내셔날의상은 물론 액세서리에도 바비의 영향을 받은 분홍색 아이템 유행이 거세다는 분석이다. 볼캡(모자)부터 플랫폼(통굽) 신발, 반짝이는 큐빅 장식이 달린 가방, 플라스틱 액세서리 등이 올 여름 인기를 끌 것으로 전망됐다. 바비코어는 복고풍과 함께 여성미가 강조된 분홍색 아이템으로 꾸민 패션을 뜻한다.



사진=신세계인터내셔날색상의 경우 연한 분홍색부터 진한 마젠타 핑크, 피치 핑크 등 다양한 범주의 분홍색을 활용하고 있다. 글로벌 색채 연구소 팬톤이 올해의 색상으로 ‘비바 마젠타’를 선정한 데 이어 그룹 블랙핑크 제니를 비롯한 유명인들이 핑크색 색상의 의류를 착용해 주목을 받았다. 바비의 복고무드가 Y2K의 연장으로 주목받으며 바비코어가 패션 트렌드로 자리잡고 있다는 분석이다. 실제 브랜드에서 다른 색상보다 핑크색 아이템의 인기가 높다는 설명이다. LF는 자사가 운영하는 브랜드 '빠투'와 '이자벨마랑'에서 핑크색 반소매 티셔츠와 가디건 등 매출이 다른 색상 제품보다 최대 2배가량 팔리고 있다고 전했다.  LF 관계자는 ""빠투 일부 상품의 경우 4월보다 5월 매출이 최대 300%까지 급증했고, 이자벨마랑 핑크 로고프린트 반팔티 매출도 2배 가량 올랐다""고 소개했다.



사진=LF핑크 아이템에 대한 관심도 꾸준히 높아지는 추세다. 온라인쇼핑몰 LF몰에서도 5월부터 두 달 간 검색 데이터를 분석한 결과, 핑크 키워드 검색량이 전년 동기보다 약 20% 늘었다.1959년 출시된 후 전 세계의 사랑을 받은 바비는 올여름 첫 번째 실사 영화가 나온다.  신세계인터내셔날 관계자는 ""핑크는 동양인의 피부색에 옷을 맞춰 입기 어렵고 특유의 여성스러운 분위기 때문에 활용도가 높지 않았다""면서도 ""올해는 복고와 Y2K 열풍, 영화 바비의 개봉에 맞춰 전세계적으로 ‘바비코어’가 급부상하면서 다양한 색조의 핑크를 사용한 제품들이 출시되며 큰 인기를 끌 것""이라고 말했다.
]"
2023.06.29. 오전 10:37,"
			[사진]블랙핑크 리사,'폭우를 뚫고'
		",https://n.news.naver.com/mnews/article/109/0004879443?sid=106,"[
 
[OSEN=인천국제공항, 박준형 기자] 블랙핑크 리사가 29일 오전  BLACKPINK WORLD TOUR [BORN PINK] in LONDON 일정 참석 차 영국 런던으로 인천국제공항을 통해 출국했다.블랙핑크 리사가 출국장으로 이동하고 있다.   2023.06.29  / soul1014@osen.co.kr
]"
2023.06.28. 오후 7:19,"
			블랙핑크 리사, 꽃 타투 눈길
		",https://n.news.naver.com/mnews/article/421/0006895071?sid=106,"[
 
(서울=뉴스1) 권현진 기자 = 블랙핑크 리사가 28일 오후 서울 종로구 소격동 국제 갤러리에서 진행된 한 명품 브랜드의 컬렉션 75주년 기념 포토월에서 포즈를 취하고 있다. 2023.6.28/뉴스1
			]"
